,"R1010","１階多目的ホール","平土間仕様1879㎡"
,"R1011","１階多目的ホール畳エリア",
,"R1012","１階多目的ホールテーブルエリア",
,"R1013","１階多目的ホールシアターエリア",
,"R1014","１階多目的ホールスクリーン前",
,"R1020","１階エントランスホール",
,"R1030","１階情報プラザ","200㎡　シアター100席"
,"R1040","１階多目的ホールホワイエ",
,"R1051","１階多目的ホール第１楽屋","19㎡"
,"R1052","１階多目的ホール第２楽屋","21㎡"
,"R1053","１階多目的ホール第３楽屋","42㎡"
,"R1054","１階多目的ホール第４楽屋","76㎡"
,"R1055","１階多目的ホール第５楽屋","19㎡"
,"R1056","１階多目的ホール第６楽屋","17㎡"
,"R1057","１階多目的ホールリハーサル室","52㎡"
,"R1058","１階多目的ホール楽屋事務室","18㎡"
,"R2010","２階小ホール","300席"
,"R2011","２階小ホールホワイエ",
,"R2020","２階国際会議室","534㎡　スクール360席　シアター480席"
,"R2030","２階スタッフルーム","110㎡　24席",
,"R2040","２階特別控室","38㎡　応接セット",
,"R2050","２階国際会議室ロビー",
,"R2060","２階多目的ホールホワイエ",
,"R2071","２階小ホール第７楽屋","27㎡"
,"R2072","２階小ホール第８楽屋","36㎡"
,"R3010","３階第１会議室","56㎡　スクール45席"
,"R3020","３階第２会議室","88㎡　スクール63席　分割利用可"
,"R3021","３階第２会議室A","スクール27席"
,"R3022","３階第２会議室B","スクール27席"
,"R3030","３階第３会議室","88㎡　スクール63席"
,"R3040","３階ロビー",
,"R5010","５階第４会議室","88㎡　スクール63席　分割利用可"
,"R5011","５階第４会議室A","スクール27席"
,"R5012","５階第４会議室B","スクール27席"
,"R5020","５階第５会議室","88㎡　スクール63席　分割利用可"
,"R5021","５階第５会議室A","スクール27席"
,"R5022","５階第５会議室B","スクール27席"
,"R5030","５階第６会議室","88㎡　スクール63席"
,"R5040","５階ロビー",
,"R6010","６階第７会議室","136㎡　スクール117席　３分割利用可"
,"R6011","６階第７会議室A",
,"R6012","６階第７会議室B",
,"R6013","６階第７会議室C",
,"R6014","６階第７会議室AB",
,"R6015","６階第７会議室BC",
,"R6020","６階第８会議室","70㎡　ロの字固定24席"
,"R6030","6階ロビー",
,"R7010","米子市文化ホールメインホール","672席"
,"R7011","米子市文化ホールメインホール楽屋１","19㎡"
,"R7012","米子市文化ホールメインホール楽屋２","19㎡"
,"R7013","米子市文化ホールメインホール楽屋３","9㎡"
,"R7014","米子市文化ホールメインホール楽屋４","18㎡　和室"
,"R7015","米子市文化ホールメインホール大楽屋","46㎡"
,"R7016","米子市文化ホールメインホールホワイエ",
,"R7020","米子市文化ホールイベントホール","196㎡　スクール120席　シアター180席"
,"R7021","米子市文化ホールイベントホール控室１","12㎡　"
,"R7022","米子市文化ホールイベントホール控室２","12㎡　"
,"R7030","米子市文化ホール展示室","95㎡　スクール50席"
,"R8010","米子市文化ホール研修室（合体）",
,"R8011","米子市文化ホール研修室１","51㎡　スクール36席　研修室２と合体可能"
,"R8012","米子市文化ホール研修室２","51㎡　スクール36席　研修室１と合体可能"
,"R8020","米子市文化ホール和室（合体）",
,"R8021","米子市文化ホール和室１","20畳　和室２と合体可能"
,"R8022","米子市文化ホール和室２","１0畳　和室１と合体可能"
,"R8030","米子市文化ホール練習室","54㎡　"
,"R9010","米子市文化ホールオープンスペース",
,"R9020","米子市文化ホール多目的広場",
,"O0000","会場外",
